Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma sp. JA9																																																																																																																																																																																																																																																																																																																																																																																																																																					3.945696															12.153386	12.531248	2.789428																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia lipolytica																																																																															12.188960																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											55.019685																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;Clavispora lusitaniae																									3.046733																					32.392947					7.144493																																							12.661068																																																					10.656359																										14.849150																																																																																																																																																																																																																																																																																													1.359139																																																																																																																																																																																																																												2.968963																											11.347873																																																																																																																																																														629.223248																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;[Candida] intermedia																																																																																																																				3.006418																																																					30.238580																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera jadinii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				2.727069																																																																																																																																																																																																																																																																																																																																																																																																																																																																									9.396065					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;																																																																																																																																																																																																																																																					4.156431																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Nakazawaea;Nakazawaea holstii																																																																																																																																						7.212042	19.780504																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	9.950871																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia membranifaciens																																																																																																																																						14.421195																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;[Candida] inconspicua																																																																																																																																										17.115326																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			8.471463																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania unispora																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										11.578482																																																																																																																																																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																									7.787780																																							2.637956														5.468799																									8.691775														3.289801										4.010693		9.360074																													20.892040																																																																																		5.718613					4.607370																																																																		11.208438							1.401280																																																																																																				8.258423																8.679055	3.985221	9.236794	15.746903	7.546974																																																							1.760688																																																																													5.323539															1.630032									2.950683														7.062997																												2.031662																			3.437194																			1.701545			14.782080																							8.773469	10.251581						8.660373											2.139671										22.489621																																																												2.353251																										3.857693													7.381686					4.310311																											19.258381			14.072392																	1.980705															6.274291																																																											4.625177			4.150865									11.540330								2.254627																	4.630569					4.984672											3.631984							3.728506							6.576107										16.012026										4.572865						7.206615																					6.087491								9.264750					8.001834											4.633655					3.301800												10.615622																			6.331503	4.598441				1.587210	7.058836	4.568536							5.524982							11.903884			6.633940			7.656845
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora;Torulaspora delbrueckii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								4.677328																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora uvarum																																																																																																																																																																																																																																																																																																																																																																																																																																																																						5.063723																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella pararugosa																																						7.427083																																																	27.089200			10.751728																																																																												22.302219																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												7.199849																																																																																																																																																																																																																																																																																																																																																																																																									3.510867																																																																																							
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;Chaetomium globosum																																																																																																																																																																																																																																																																																																																																																																																																																																																										10.993143																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;																																																																																										8.049475																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa																											24.656618																				70.399686																																											7.295216																						6.849212																																																																																																																																																																																																																																																								5.427525																																	8.936981																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta																	14.671301																																																			2.840046																																																																																																																2.456885																																														26.877979																																																																																															4.658564																										20.253971																																																														3.533653																			4.981929									5.492404																																														47.045090								0.754021																																																																																									5.946259																																																																																			6.013947										28.190863																																																																																																																																																																																																																																																																																																																					23.128657																																																																																																																4.919987																																																												
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;																																																																																																																																																																																																																																																																																																																																																																																																																																																										19.993888																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
