source_taxon	source_taxon_name	kingdom	avg_mapq	precision	precision_mapq_at_least_30
353152	Cryptosporidium parvum Iowa II	Protists	21.637	0.901	1.000
1420914	Pseudogymnoascus sp. VKM F-4519 (FW-2642)	Fungi	21.638	0.859	0.992
1635101	Yarrowia sp. JCM 30695	Fungi	21.643	0.865	0.991
1325737	Fusarium sp. AF-6	Fungi	21.656	0.874	0.984
91411	Polistes canadensis	Metazoa	21.683	0.888	0.991
6853	Tachypleus tridentatus	Metazoa	21.684	0.855	0.978
203993	Pocillopora verrucosa	Metazoa	21.690	0.896	0.994
6303	Meloidogyne javanica	Metazoa	21.754	0.776	0.960
230004	Alternaria consortialis	Fungi	21.757	0.912	0.969
2495903	Fusarium citri	Fungi	21.770	0.886	0.991
258770	Melampsora medusae f. sp. deltoidis	Fungi	21.788	0.879	1.000
211522	Acanthamoeba quina	Protists	21.844	0.831	0.878
32352	montium subgroup	Metazoa	21.867	0.929	0.992
464929	Aphis	Metazoa	21.872	0.888	0.987
5464	Colletotrichum musae	Fungi	21.900	0.905	0.988
1813822	fungal sp. No.14919	Fungi	21.925	0.871	0.959
7263	Drosophila arizonae	Metazoa	21.928	0.901	0.988
305399	Chrysoporthe	Fungi	21.963	0.926	0.982
278944	Botryotinia narcissicola	Fungi	21.977	0.869	0.997
2004999	Lepidotrigona ventralis hoosana	Metazoa	21.980	0.863	1.000
5661	Leishmania donovani	Protists	22.000	0.875	1.000
7463	Apis florea	Metazoa	22.000	0.875	1.000
644358	Magnaporthiopsis poae ATCC 64411	Fungi	22.002	0.902	0.988
7291	Drosophila albomicans	Metazoa	22.003	0.901	0.995
1076696	Entamoeba nuttalli P19	Protists	22.043	0.942	1.000
2259054	Metschnikowia citriensis	Fungi	22.054	0.884	0.989
5550	Trichophyton	Fungi	22.066	0.875	0.986
82102	Melampsora occidentalis	Fungi	22.098	0.856	0.961
510951	Neurospora tetrasperma FGSC 2508	Fungi	22.118	0.886	0.984
1635098	Yarrowia keelungensis	Fungi	22.126	0.864	0.961
310795	Heliconius nattereri	Metazoa	22.128	0.883	0.990
1420907	Pseudogymnoascus sp. VKM F-4513 (FW-928)	Fungi	22.178	0.905	0.982
306094	Aspergillus persii	Fungi	22.218	0.912	0.989
33440	Heliconius xanthocles	Metazoa	22.227	0.864	0.857
1580858	Huntiella decipiens	Fungi	22.234	0.914	0.994
5806	Cryptosporidium	Protists	22.250	0.900	1.000
759273	Colletotrichum higginsianum IMI 349063	Fungi	22.258	0.930	0.991
37616	Viannia	Protists	22.273	1.000	1.000
690307	Aspergillus aculeatus ATCC 16872	Fungi	22.280	0.890	0.988
33442	Heliconius himera	Metazoa	22.309	0.912	0.989
2562443	Trichoderma sp. IMV 00454	Fungi	22.316	0.882	0.994
36066	Cantharellus cibarius	Fungi	22.330	0.845	1.000
416442	Lactarius hatsudake	Fungi	22.331	0.855	0.987
278940	Botrytis galanthina	Fungi	22.342	0.876	0.997
132259	Aspergillus pseudotamarii	Fungi	22.355	0.892	0.994
31246	Schistosoma mattheei	Metazoa	22.371	0.857	0.973
334819	Fusarium verticillioides 7600	Fungi	22.384	0.916	1.000
249345	Picochlorum oklahomense	Plants	22.407	0.832	0.990
7398	Glossina pallidipes	Metazoa	22.428	0.901	0.992
1962980	Aurelia coerulea	Metazoa	22.453	0.811	1.000
37546	Glossina morsitans morsitans	Metazoa	22.462	0.919	1.000
1398154	Sporothrix brasiliensis 5110	Fungi	22.483	0.927	0.984
684658	Aphidius gifuensis	Metazoa	22.488	0.909	0.977
307758	Ustilago bromivora	Fungi	22.514	0.905	0.965
222702	Lactarius indigo	Fungi	22.517	0.849	0.989
1028729	Fusarium pseudograminearum CS3096	Fungi	22.558	0.921	0.991
