3116811	G78520	944160|Blastocystis_sp_subtype_2	17
3116870	G69194	49331|Wickerhamiella_pararugosa	2
3116870	G69194	559292|Saccharomyces_cerevisiae_S288C	12
3117068	G69219	5480|Candida_parapsilosis	2
3117068	G69219	559292|Saccharomyces_cerevisiae_S288C	8
3117113	G78602	559292|Saccharomyces_cerevisiae_S288C	3
3117249	G45076	559292|Saccharomyces_cerevisiae_S288C	17
3117368	G80401	76775|Malassezia_restricta	3
3117380	G45223	559292|Saccharomyces_cerevisiae_S288C	8
3117453	G80338	944160|Blastocystis_sp_subtype_2	14
3117525	G80409	?12968|Blastocystis_hominis	7
3117546	G69228	559292|Saccharomyces_cerevisiae_S288C	17
3117584	G69166	478820|Blastocystis_sp_ATCC_50177-Nand_II	15
3117627	G45048	4950|Torulaspora_delbrueckii	4
3117692	G80393	944160|Blastocystis_sp_subtype_2	20
3119553	G80425	944160|Blastocystis_sp_subtype_2	18
3119562	G80433	559292|Saccharomyces_cerevisiae_S288C	3
3119593	G69185	559292|Saccharomyces_cerevisiae_S288C	7
3119726	G45075	559292|Saccharomyces_cerevisiae_S288C	3
3119727	G45077	559292|Saccharomyces_cerevisiae_S288C	7
3119729	G45070	559292|Saccharomyces_cerevisiae_S288C	9
3119777	G80286	944168|Blastocystis_sp_subtype_3	21
3119784	G78631	944168|Blastocystis_sp_subtype_3	5
3119945	G80435	559292|Saccharomyces_cerevisiae_S288C	4
3120536	G78502	237561|Candida_albicans_SC5314	2
3120536	G78502	559292|Saccharomyces_cerevisiae_S288C	8
3120543	G78737	983966|Cyberlindnera_jadinii_NRRL_Y-1542	2
3120666	G80412	559292|Saccharomyces_cerevisiae_S288C	3
3120666	G80412	944160|Blastocystis_sp_subtype_2	20
3120848	G78708	559292|Saccharomyces_cerevisiae_S288C	9
